geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children tested for lead by age 3 years Number,Children tested for lead by age 3 years Number _NOTES,Children tested for lead by age 3 years Percentage,Children tested for lead by age 3 years Percentage _NOTES
Neighborhood (UHF 42),204,East New York,2,2009,2570,,87,
Neighborhood (UHF 42),201,Greenpoint,2,2016,1840,,72,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2014,960,,71,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2013,2000,,83,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2016,2140,,75,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2016,820,,62,
Neighborhood (UHF 42),410,Rockaways,4,2012,1250,,84,
Neighborhood (UHF 42),409,Southeast Queens,4,2014,1480,,76,
Neighborhood (UHF 42),402,West Queens,4,2010,5890,,86,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2011,3450,,90,
Neighborhood (UHF 42),303,East Harlem,3,2015,1190,,87,
Neighborhood (UHF 42),402,West Queens,4,2008,5920,,84,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2011,720,,75,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2013,1300,,80,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2014,1360,,82,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2015,870,,65,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2008,1250,,82,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2009,3100,,88,
Neighborhood (UHF 42),408,Jamaica,4,2014,3100,,86,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2010,1870,,74,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2015,3190,,85,
Neighborhood (UHF 42),201,Greenpoint,2,2009,1880,,85,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2010,1210,,81,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2008,3190,,86,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2010,380,,78,
Neighborhood (UHF 42),406,Fresh Meadows,4,2008,810,,78,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2012,3310,,89,
Neighborhood (UHF 42),406,Fresh Meadows,4,2013,860,,80,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2015,2010,,88,
Neighborhood (UHF 42),501,Port Richmond,5,2014,830,,85,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2016,3410,,87,
Neighborhood (UHF 42),407,Southwest Queens,4,2008,2770,,81,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2014,2090,,81,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2015,3180,,86,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2009,2070,,86,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2012,980,,73,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2009,3350,,89,
Neighborhood (UHF 42),305,Upper East Side,3,2014,2040,,75,
Neighborhood (UHF 42),410,Rockaways,4,2008,1070,,83,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2010,3110,,88,
Neighborhood (UHF 42),205,Sunset Park,2,2016,2300,,71,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2014,2190,,90,
Neighborhood (UHF 42),205,Sunset Park,2,2014,2250,,66,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2011,1040,,75,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2011,4480,,88,
Neighborhood (UHF 42),205,Sunset Park,2,2013,2240,,68,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2013,3420,,88,
Neighborhood (UHF 42),305,Upper East Side,3,2011,2040,,72,
Neighborhood (UHF 42),206,Borough Park,2,2012,5450,,79,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2010,2080,,90,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2008,3020,,83,
Neighborhood (UHF 42),102,Northeast Bronx,1,2016,1530,,83,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2011,4080,,85,
Neighborhood (UHF 42),201,Greenpoint,2,2015,1810,,72,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2013,1500,,80,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2011,2010,,83,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2012,3980,,84,
Neighborhood (UHF 42),503,Willowbrook,5,2013,820,,85,
Neighborhood (UHF 42),206,Borough Park,2,2008,4000,,65,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2009,2220,,80,
Neighborhood (UHF 42),304,Upper West Side,3,2013,2090,,72,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2009,1840,,82,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2016,2000,,87,
Neighborhood (UHF 42),305,Upper East Side,3,2016,1960,,73,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2016,1300,,70,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2014,3220,,88,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2015,3290,,81,
Neighborhood (UHF 42),310,Lower Manhattan,3,2016,630,,65,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2015,850,,61,
Neighborhood (UHF 42),408,Jamaica,4,2009,3060,,84,
Neighborhood (UHF 42),407,Southwest Queens,4,2012,2840,,85,
Neighborhood (UHF 42),304,Upper West Side,3,2014,1930,,69,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2015,840,,83,
Neighborhood (UHF 42),503,Willowbrook,5,2008,760,,81,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2009,2040,,90,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2015,650,,71,
Neighborhood (UHF 42),205,Sunset Park,2,2010,1780,,59,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2015,1880,,83,
Neighborhood (UHF 42),201,Greenpoint,2,2014,1990,,80,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2016,3840,,83,
Neighborhood (UHF 42),303,East Harlem,3,2010,1310,,89,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2011,2210,,85,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2012,1630,,84,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2016,2070,,78,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2009,1340,,83,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2008,1800,,80,
Neighborhood (UHF 42),206,Borough Park,2,2014,5700,,79,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2008,3770,,81,
Neighborhood (UHF 42),409,Southeast Queens,4,2010,1420,,72,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2014,2010,,82,
Neighborhood (UHF 42),304,Upper West Side,3,2011,2320,,80,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2008,3590,,86,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2016,2980,,83,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2008,1530,,65,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2009,1950,,82,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2008,4010,,82,
Neighborhood (UHF 42),406,Fresh Meadows,4,2012,930,,81,
Neighborhood (UHF 42),301,Washington Heights,3,2008,3160,,83,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2011,2110,,75,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2016,3160,,87,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2014,3520,,83,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2011,1390,,83,
Neighborhood (UHF 42),102,Northeast Bronx,1,2012,1840,,86,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2010,1680,,79,
Neighborhood (UHF 42),305,Upper East Side,3,2013,2050,,74,
Neighborhood (UHF 42),406,Fresh Meadows,4,2010,800,,79,
Neighborhood (UHF 42),402,West Queens,4,2016,5970,,87,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2011,890,,86,
Neighborhood (UHF 42),204,East New York,2,2013,2620,,88,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2012,2000,,76,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2013,690,,78,
Neighborhood (UHF 42),206,Borough Park,2,2015,6020,,80,
Neighborhood (UHF 42),204,East New York,2,2012,2660,,87,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2016,3140,,84,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2010,3180,,85,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2010,1890,,84,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2016,3070,,87,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2013,2220,,89,
Neighborhood (UHF 42),406,Fresh Meadows,4,2011,920,,81,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2012,1710,,74,
Neighborhood (UHF 42),310,Lower Manhattan,3,2008,270,,52,
Neighborhood (UHF 42),410,Rockaways,4,2014,1090,,82,
Neighborhood (UHF 42),301,Washington Heights,3,2012,2880,,83,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2016,830,,84,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2011,3540,,87,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2010,3510,,88,
Neighborhood (UHF 42),407,Southwest Queens,4,2014,2750,,87,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2015,3500,,87,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2012,1900,,84,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2016,2450,,82,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2014,3120,,87,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2014,1550,,83,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2011,1930,,85,
Neighborhood (UHF 42),410,Rockaways,4,2013,1120,,83,
Neighborhood (UHF 42),303,East Harlem,3,2011,1440,,88,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2013,3130,,88,
Neighborhood (UHF 42),501,Port Richmond,5,2012,910,,84,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2015,3970,,82,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2011,1710,,70,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2011,2300,,89,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2016,2050,,81,
Neighborhood (UHF 42),402,West Queens,4,2009,6040,,85,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2011,2980,,85,
Neighborhood (UHF 42),503,Willowbrook,5,2016,770,,82,
Neighborhood (UHF 42),102,Northeast Bronx,1,2009,1770,,84,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2013,3800,,85,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2013,410,,81,
Neighborhood (UHF 42),204,East New York,2,2014,2490,,87,
Neighborhood (UHF 42),503,Willowbrook,5,2010,710,,82,
Neighborhood (UHF 42),204,East New York,2,2011,2700,,88,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2012,3290,,87,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2013,930,,70,
Neighborhood (UHF 42),205,Sunset Park,2,2011,2150,,63,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2016,3230,,77,
Neighborhood (UHF 42),410,Rockaways,4,2010,1080,,82,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2009,860,,72,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2008,2320,,81,
Neighborhood (UHF 42),201,Greenpoint,2,2008,1740,,80,
Neighborhood (UHF 42),408,Jamaica,4,2013,3300,,87,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2012,3520,,89,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2016,3270,,80,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2016,1230,,81,
Neighborhood (UHF 42),304,Upper West Side,3,2009,2290,,79,
Neighborhood (UHF 42),402,West Queens,4,2014,6180,,88,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2014,4090,,84,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2014,3200,,86,
Neighborhood (UHF 42),205,Sunset Park,2,2015,2500,,67,
Neighborhood (UHF 42),410,Rockaways,4,2015,1070,,82,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2013,3220,,87,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2008,780,,81,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2010,2260,,81,
Neighborhood (UHF 42),205,Sunset Park,2,2009,2070,,68,
Neighborhood (UHF 42),204,East New York,2,2015,2570,,86,
Neighborhood (UHF 42),407,Southwest Queens,4,2015,2720,,86,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2015,3190,,87,
Neighborhood (UHF 42),305,Upper East Side,3,2015,1970,,74,
Neighborhood (UHF 42),501,Port Richmond,5,2016,850,,84,
Neighborhood (UHF 42),304,Upper West Side,3,2010,2230,,79,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2013,4200,,86,
Neighborhood (UHF 42),409,Southeast Queens,4,2009,1400,,72,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2015,2900,,85,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2016,830,,62,
Neighborhood (UHF 42),402,West Queens,4,2011,6530,,87,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2010,790,,83,
Neighborhood (UHF 42),304,Upper West Side,3,2016,1870,,71,
Neighborhood (UHF 42),408,Jamaica,4,2010,3130,,86,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2010,1460,,64,
Neighborhood (UHF 42),204,East New York,2,2010,2510,,87,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2012,4350,,86,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2013,1540,,75,
Neighborhood (UHF 42),402,West Queens,4,2015,6260,,88,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2009,370,,78,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2014,2910,,74,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2009,1840,,75,
Neighborhood (UHF 42),501,Port Richmond,5,2013,960,,85,
Neighborhood (UHF 42),407,Southwest Queens,4,2013,2810,,87,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2013,1970,,79,
Neighborhood (UHF 42),409,Southeast Queens,4,2008,1390,,70,
Neighborhood (UHF 42),310,Lower Manhattan,3,2012,680,,81,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2010,920,,72,
Neighborhood (UHF 42),503,Willowbrook,5,2015,720,,83,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2011,3870,,89,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2016,340,,74,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2012,2310,,89,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2010,3220,,88,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2016,2710,,84,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2011,3020,,85,
Neighborhood (UHF 42),206,Borough Park,2,2011,5110,,74,
Neighborhood (UHF 42),402,West Queens,4,2012,6380,,87,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2011,1050,,76,
Neighborhood (UHF 42),503,Willowbrook,5,2009,760,,81,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2009,2530,,83,
Neighborhood (UHF 42),305,Upper East Side,3,2010,1840,,71,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2008,1540,,78,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2012,3050,,85,
Neighborhood (UHF 42),503,Willowbrook,5,2014,830,,84,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2009,1820,,86,
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2009,4150,,85,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2016,1820,,83,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2014,940,,71,
Neighborhood (UHF 42),204,East New York,2,2016,2410,,85,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2008,3190,,87,
Neighborhood (UHF 42),310,Lower Manhattan,3,2011,540,,71,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2016,1510,,84,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2009,3240,,87,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2009,880,,75,
Neighborhood (UHF 42),305,Upper East Side,3,2009,1970,,71,
Neighborhood (UHF 42),501,Port Richmond,5,2010,800,,83,
Neighborhood (UHF 42),310,Lower Manhattan,3,2010,370,,58,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2014,650,,74,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2016,620,,74,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2008,2000,,82,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2010,2000,,82,
Neighborhood (UHF 42),407,Southwest Queens,4,2010,2730,,84,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2010,1800,,85,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2008,1760,,84,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2012,2420,,84,
Neighborhood (UHF 42),301,Washington Heights,3,2014,2860,,85,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2015,3100,,74,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2009,1600,,67,
Neighborhood (UHF 42),303,East Harlem,3,2013,1360,,88,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2014,2480,,84,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2013,3100,,86,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2009,3620,,88,
Neighborhood (UHF 42),407,Southwest Queens,4,2011,3090,,84,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2014,1530,,74,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2014,1850,,85,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2013,950,,73,
Neighborhood (UHF 42),409,Southeast Queens,4,2012,1390,,73,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2010,860,,74,
Neighborhood (UHF 42),406,Fresh Meadows,4,2014,920,,83,
Neighborhood (UHF 42),402,West Queens,4,2013,6440,,88,
Neighborhood (UHF 42),501,Port Richmond,5,2009,820,,82,
Neighborhood (UHF 42),102,Northeast Bronx,1,2013,1760,,85,
